leagueId,tier,number
04e24c6a-d02d-4035-90cf-3863b52b2beb,BRONZE,68
04ea251c-64fd-453f-a5ff-a6f769e16e56,GOLD,187
04eb5c9b-7907-4f82-a183-5525d50e6d4a,SILVER,90
04f70e7e-8b11-4b60-b02f-2df085d16252,GOLD,184
04fbab53-1e77-4a58-b90d-6a95ae4df589,SILVER,189
04fe05fd-5c15-4918-b939-ce2aad273e87,IRON,43
0509ffe5-1803-4c90-a2f6-723191797ca9,BRONZE,69
051839ae-bf6e-4323-a4c6-090cc71159f2,BRONZE,134
052020c0-0f91-4747-800b-7e354e398513,PLATINUM,192
0523f64c-ece6-4ce1-8666-93c27adcc6ab,BRONZE,134
0528e620-af5f-4cf9-8241-1beac9512bd4,BRONZE,62
052c6c35-8ef6-452e-9777-3dc240495f93,IRON,99
052d2f0b-5065-4cc7-b6f6-1dfa09d5e817,BRONZE,131
05301698-d80a-4ee2-8cdb-d70d978c19f8,SILVER,177
053123fc-de3c-4547-9305-5260df97cf49,BRONZE,124
05327f39-ff54-4860-9488-ccc58d0d8cb5,SILVER,174
05348bea-c42a-44cd-b957-8f4c53875e84,IRON,37
0539343c-92af-455a-8b5d-61d4d2d72af6,BRONZE,129
053b622e-33b1-4085-b620-3165df7c376d,IRON,61
053bfb13-3227-447d-b2b8-d884ce6b2f01,BRONZE,74
053ec8d3-21df-4801-a548-f70c45620df8,BRONZE,144
054344ad-9e34-4090-819a-a662476d8a2d,PLATINUM,196
0545965c-1e6f-4960-b4b6-489617c16aac,GOLD,189
0556ac49-c332-4f9f-9765-3b557eb9a09e,SILVER,77
055e8689-4fac-4f84-9482-29093522fc9b,GOLD,117
05600f5c-ca97-422b-ae1a-2cec3d3ad701,IRON,78
056aa126-ffc3-4fcd-a905-56c2cc810913,BRONZE,59
056c89fd-4ec6-4a20-aabf-e050346e4b56,GOLD,185
0574b6e4-31f8-4aca-9526-1ccb9bfc1a9a,SILVER,174
0578485b-f245-4a37-85ec-94c5eeafcdca,BRONZE,78
05801eb4-9173-4140-a8eb-4b91ef256d8e,GOLD,193
058279e4-8ba4-4b7a-8f42-ad76ddf000ad,IRON,20
0588815e-2d39-4873-9660-41e801b6fc6a,GOLD,192
0589e0d0-fa83-413a-b10b-b060a988e636,BRONZE,67
059506da-dcbd-4945-8a81-b26136a98997,SILVER,172
0595cd1b-9713-431d-b696-9374c392ce78,IRON,11
05975799-aaab-4539-b08e-66ff75609405,BRONZE,154
05a20f4d-e73c-44cb-ac93-8949d8cae31d,SILVER,173
05a555af-abb8-4bd0-ae2b-9a34999c23cb,SILVER,178
